C:\Users\tomge\PycharmProjects\bet538\venv\Scripts\python.exe C:/Users/tomge/PycharmProjects/bet538/main.py

Successfully got 35 sports Here's the first sport:
{'key': 'americanfootball_nfl', 'active': True, 'group': 'American Football', 'details': 'US Football', 'title': 'NFL', 'has_outrights': False}

Successfully got 19 events Here's the first event:

Remaining requests 363
Used requests 137
[('Arsenal', 'Newcastle United'), 'marathonbet', -100.0, 0, 0, 4.8]
[('Arsenal', 'Newcastle United'), 'marathonbet', -100.0, 1, 0, 1.44]
[('Arsenal', 'Newcastle United'), 'marathonbet', -100.0, 2, 0, 8.2]
[('Arsenal', 'Newcastle United'), 'ladbrokes', -100.0, 0, 0, 4.25]
[('Arsenal', 'Newcastle United'), 'ladbrokes', -100.0, 1, 0, 1.44]
[('Arsenal', 'Newcastle United'), 'ladbrokes', -100.0, 2, 0, 7.5]
[('Arsenal', 'Newcastle United'), 'williamhill', -100.0, 0, 0, 4.4]
[('Arsenal', 'Newcastle United'), 'williamhill', -100.0, 1, 0, 1.44]
[('Arsenal', 'Newcastle United'), 'williamhill', -100.0, 2, 0, 7.5]
[('Arsenal', 'Newcastle United'), 'betfred', -100.0, 0, 0, 4.5]
[('Arsenal', 'Newcastle United'), 'betfred', -100.0, 1, 0, 1.44]
[('Arsenal', 'Newcastle United'), 'betfred', -100.0, 2, 0, 8.0]
[('Arsenal', 'Newcastle United'), 'matchbook', -100.0, 0, 0, 4.2]
[('Arsenal', 'Newcastle United'), 'matchbook', -100.0, 1, 0, 1.38]
[('Arsenal', 'Newcastle United'), 'matchbook', -100.0, 2, 0, 8.0]

Successfully got 35 sports Here's the first sport:
{'key': 'americanfootball_nfl', 'active': True, 'group': 'American Football', 'details': 'US Football', 'title': 'NFL', 'has_outrights': False}

Successfully got 6 events Here's the first event:

Remaining requests 362
Used requests 138
[('Sydney FC', 'Western Sydney Wanderers'), 'unibet', -100.0, 0, 0, 3.55]
[('Sydney FC', 'Western Sydney Wanderers'), 'unibet', -100.0, 1, 0, 1.76]
[('Sydney FC', 'Western Sydney Wanderers'), 'unibet', -100.0, 2, 0, 5.0]
[('Sydney FC', 'Western Sydney Wanderers'), 'sport888', -100.0, 0, 0, 3.4]
[('Sydney FC', 'Western Sydney Wanderers'), 'sport888', -100.0, 1, 0, 1.7]
[('Sydney FC', 'Western Sydney Wanderers'), 'sport888', -100.0, 2, 0, 4.8]
[('Sydney FC', 'Western Sydney Wanderers'), 'marathonbet', -100.0, 0, 0, 3.9]
[('Sydney FC', 'Western Sydney Wanderers'), 'marathonbet', -100.0, 1, 0, 1.76]
[('Sydney FC', 'Western Sydney Wanderers'), 'marathonbet', -100.0, 2, 0, 4.45]
[('Sydney FC', 'Western Sydney Wanderers'), 'betvictor', -100.0, 0, 0, 3.5]
[('Sydney FC', 'Western Sydney Wanderers'), 'betvictor', -100.0, 1, 0, 1.75]
